Suburb,Postcode,HouseMedian$,UpdatedYr,UpdateMonth,,,
Waterfall,2233,900000,2016,6,,,2233
Waterloo,2017,930000,2016,6,,,1440
Watsons Bay,2030,1709000,2016,6,,,2030
Wattle Grove,2173,695000,2016,6,,,2173
Waverley,2024,1200000,2016,6,,,2024
Waverton,2060,1050000,2016,6,,,2060
Webbs Creek,2775,635000,2016,6,,,2775
Wedderburn,2560,545000,2016,6,,,2560
Wendoree Park,2250,600000,2016,6,,,2250
Wentworth Point,2127,720000,2016,6,,,#N/A
Werombi Road,2570,680000,2016,6,,,#N/A
Werri Beach,2534,688000,2016,6,,,2534
Werrington,2747,589000,2016,6,,,2747
Werrington County,2747,589000,2016,6,,,2747
Werrington Downs,2747,589000,2016,6,,,2747
West Gosford,2250,600000,2016,6,,,2250
West Hoxton,2171,695000,2016,6,,,2171
West Killara,#N/A,1600000,2016,6,,,#N/A
West Lindfield,2070,1600000,2016,6,,,#N/A
West Pennant Hills,2125,1089000,2016,6,,,2125
West Pymble,2073,1600000,2016,6,,,2073
West Ryde,2114,1020000,2016,6,,,1685
West Wallsend,2286,491000,2016,6,,,2286
West Wollongong,2500,595000,2016,6,,,2500
Weston,2326,316000,2016,6,,,2326
Wetherill Park,2164,700000,2016,6,,,2164
Whalan,2770,632000,2016,6,,,2770
Whale Beach,2107,1391000,2016,6,,,2107
Wheeler Heights,2097,1035000,2016,6,,,2097
Wheeny Creek,2758,578000,2016,6,,,2758
Wheeny Creek,2765,635000,2016,6,,,2758
Whitebridge,2290,491000,2016,6,,,2290
Wickham,2293,491000,2016,6,,,2293
Wilberforce,2756,635000,2016,6,,,2756
Wiley Park,2195,700000,2016,6,,,2195
Williamtown,2318,449000,2016,6,,,2318
Willmot,2770,632000,2016,6,,,2770
Willoughby,2068,1486000,2016,6,,,2068
Willow Vale,2534,688000,2016,6,,,2534
Windale,2306,491000,2016,6,,,2306
Windang,2528,595000,2016,6,,,2528
Windella,2320,417000,2016,6,,,2320
Windsor,2756,635000,2016,6,,,2756
Windsor Downs,2756,635000,2016,6,,,2756
Wolli Creek,2205,760000,2016,6,,,2205
Wollombi,2325,316000,2016,6,,,2325
Wollongong,2500,595000,2016,6,,,2500
Wollongong,2520,595000,2016,6,,,2500
Wollongong West,2500,595000,2016,6,,,2500
Wollstonecraft,2065,1050000,2016,6,,,2065
Wombarra,2515,595000,2016,6,,,2515
Womerah,2756,635000,2016,6,,,2756
Wondabyne,2256,600000,2016,6,,,2256
Wongawilli,2530,595000,2016,6,,,2530
Woodbine,2560,545000,2016,6,,,2560
Woodcroft,2767,632000,2016,6,,,2767
Woodpark,2164,708000,2016,6,,,2164
Woodrising,2284,491000,2016,6,,,2284
Woollahra,2025,1709000,2016,6,,,2025
Woolloomooloo,2011,930000,2016,6,,,2011
Woolooware,2230,900000,2016,6,,,2230
Woolwich,2110,1780000,2016,6,,,2110
Woongarrah,2259,480000,2016,6,,,2259
Woonona,2517,595000,2016,6,,,2517
Woonona East,2517,595000,2016,6,,,2517
Woronora,2232,900000,2016,6,,,2232
Woronora Dam,2508,595000,2016,6,,,2508
Woronora Heights,2233,900000,2016,6,,,2233
Woy Woy,2256,600000,2016,6,,,2256
Woy Woy Bay,2256,600000,2016,6,,,2256
Wrights Creek,2775,635000,2016,6,,,2775
Wyoming,2250,600000,2016,6,,,2250
Wyong,2259,480000,2016,6,,,2259
Wyong Creek,2259,480000,2016,6,,,2259
Wyongah,2259,480000,2016,6,,,2259
Yagoona,1927,820000,2016,6,,,2199
Yagoona,2199,700000,2016,6,,,2199
Yanderra,2574,680000,2016,6,,,2574
Yarramalong,2259,480000,2016,6,,,2259
Yarramundi,2753,635000,2016,6,,,2753
Yarrawarrah,2233,900000,2016,6,,,2233
Yattalunga,2251,600000,2016,6,,,2251
Yerranderie,2787,680000,2016,6,,,#N/A
Yowie Bay,2228,900000,2016,6,,,2228
Zetland,2017,930000,2016,6,,,2017
