Suburb,Postcode,HouseMedian$,UpdatedYr,UpdateMonth,,,
Booragul,2284,491000,2016,6,,,2284
Bossley Park,2176,700000,2016,6,,,2176
Botany,2019,861000,2016,6,,,1455
Botany Bay,#N/A,861000,2016,6,,,#N/A
Bouddi,2251,600000,2016,6,,,2251
Bow Bowing,2566,545000,2016,6,,,2566
Bowen Mountain,2753,635000,2016,6,,,2753
Box Head,2257,600000,2016,6,,,2257
Box Hill,2765,1089000,2016,6,,,2765
Bradbury,2560,545000,2016,6,,,2560
Brandy Hill,2324,449000,2016,6,,,2324
Branxton,2335,316000,2016,6,,,2335
Breakfast Point,2137,1006000,2016,6,,,2137
Brighton-Le-Sands,2216,760000,2016,6,,,2216
Bringelly,2556,695000,2016,6,,,2556
Broadmeadow,2292,491000,2016,6,,,2292
Brogers Creek,2535,688000,2016,6,,,2535
Bronte,2024,1200000,2016,6,,,2024
Brookvale,2100,1035000,2016,6,,,2100
Broughton Village,2535,688000,2016,6,,,2535
Brownsville,2530,595000,2016,6,,,2530
Brunkerville,2323,417000,2016,6,,,2323
Buchanan,2323,417000,2016,6,,,2323
Bucketty,2250,635000,2016,6,,,2250
Budderoo,2535,688000,2016,6,,,2535
Budgewoi,2262,480000,2016,6,,,2262
Budgewoi Peninsula,2262,480000,2016,6,,,2262
Buff Point,2262,480000,2016,6,,,2262
Bulli,2516,595000,2016,6,,,2516
Bundeena,2230,900000,2016,6,,,2230
Bungan Beach,#N/A,1391000,2016,6,,,#N/A
Bungan Head,#N/A,1391000,2016,6,,,#N/A
Bungarribee,2767,632000,2016,6,,,#N/A
Burraneer,2230,900000,2016,6,,,2230
Burwood,1814,878000,2016,6,,,1805
Burwood Heights,2136,878000,2016,6,,,2136
Busby,2168,695000,2016,6,,,2168
Buttaba,2283,491000,2016,6,,,2283
Buttai,2323,417000,2016,6,,,2323
Cabarita,2137,1006000,2016,6,,,2137
Cabramatta,2166,700000,2016,6,,,2166
Cabramatta West,2166,700000,2016,6,,,2166
Caddens,2747,589000,2016,6,,,#N/A
Calga,2250,600000,2016,6,,,2250
Callaghan,2308,491000,2016,6,,,2308
Cambridge Gardens,2747,589000,2016,6,,,2747
Cambridge Park,2747,589000,2016,6,,,2747
Camellia,2142,720000,2016,6,,,2142
Cameron Park,2285,491000,2016,6,,,2285
