State,City,Suburb,Median,UpdatedYear,UpdatedMonth
WA,Perth,Naval Base,0,2018,4
WA,Perth,Nedlands,1600000,2018,4
WA,Perth,Neerabup,0,2018,4
WA,Perth,Nollamara,395000,2018,4
WA,Perth,Noranda,586500,2018,4
WA,Perth,North Beach,1100000,2018,4
WA,Perth,North Coogee,1130000,2018,4
WA,Perth,North Fremantle,1160000,2018,4
WA,Perth,North Lake,612500,2018,4
WA,Perth,North Perth,822500,2018,4
WA,Perth,Northbridge,1075000,2018,4
WA,Perth,Nowergup,0,2018,4
WA,Perth,O'Connor,395000,2018,4
WA,Perth,Oakford,832500,2018,4
WA,Perth,Ocean Reef,704500,2018,4
WA,Perth,Oldbury,0,2018,4
WA,Perth,Orange Grove,677500,2018,4
WA,Perth,Orelia,304500,2018,4
WA,Perth,Osborne Park,490000,2018,4
WA,Perth,Padbury,525000,2018,4
WA,Perth,Palmyra,600000,2018,4
WA,Perth,Parkerville,488000,2018,4
WA,Perth,Parkwood,460000,2018,4
WA,Perth,Parmelia,292500,2018,4
WA,Perth,Paulls Valley,0,2018,4
WA,Perth,Pearsall,441000,2018,4
WA,Perth,Peel Estate,0,2018,4
WA,Perth,Peppermint Grove,3475000,2018,4
WA,Perth,Perth,846000,2018,4
WA,Perth,Perth Airport,0,2018,4
WA,Perth,Piara Waters,522500,2018,4
WA,Perth,Pickering Brook,325000,2018,4
WA,Perth,Piesse Brook,810000,2018,4
WA,Perth,Pinjar,0,2018,4
WA,Perth,Port Kennedy,370000,2018,4
WA,Perth,Postans,0,2018,4
WA,Perth,Queens Park,420500,2018,4
WA,Perth,Quinns Rocks,452500,2018,4
WA,Perth,Red Hill,0,2018,4
WA,Perth,Redcliffe,450000,2018,4
WA,Perth,Ridgewood,370000,2018,4
WA,Perth,Riverton,625000,2018,4
WA,Perth,Rivervale,529000,2018,4
WA,Perth,Rockingham,382500,2018,4
WA,Perth,Roleystone,535000,2018,4
WA,Perth,Rossmoyne,1205000,2018,4
WA,Perth,Safety Bay,410000,2018,4
WA,Perth,Salter Point,1150000,2018,4
WA,Perth,Samson,553500,2018,4
WA,Perth,Sawyers Valley,427500,2018,4
WA,Perth,Scarborough,750000,2018,4
WA,Perth,Secret Harbour,435000,2018,4
WA,Perth,Serpentine,600000,2018,4
WA,Perth,Seville Grove,347500,2018,4
WA,Perth,Shelley,885000,2018,4
WA,Perth,Shenton Park,1215000,2018,4
WA,Perth,Shoalwater,450000,2018,4
WA,Perth,Sinagra,464500,2018,4
WA,Perth,Singleton,415000,2018,4
WA,Perth,Sorrento,907000,2018,4
WA,Perth,South Fremantle,1057500,2018,4
WA,Perth,South Guildford,515000,2018,4
WA,Perth,South Lake,430000,2018,4
WA,Perth,South Perth,1185000,2018,4
WA,Perth,Southern River,550000,2018,4
WA,Perth,Spearwood,470000,2018,4
WA,Perth,St James,536250,2018,4
WA,Perth,Stirling,800000,2018,4
WA,Perth,Stoneville,500000,2018,4
WA,Perth,Stratton,330000,2018,4
WA,Perth,Subiaco,1250000,2018,4
WA,Perth,Success,514000,2018,4
WA,Perth,Swan View,360000,2018,4
WA,Perth,Swanbourne,1523000,2018,4
WA,Perth,Tamala Park,0,2018,4
WA,Perth,Tapping,486750,2018,4
WA,Perth,The Lakes,0,2018,4
WA,Perth,The Spectacles,0,2018,4
WA,Perth,The Vines,625000,2018,4
WA,Perth,Thornlie,385000,2018,4
WA,Perth,Treeby,520000,2018,4
WA,Perth,Trigg,1150000,2018,4
WA,Perth,Tuart Hill,530000,2018,4
WA,Perth,Two Rocks,375000,2018,4
WA,Perth,Upper Swan,560000,2018,4
WA,Perth,Victoria Park,634500,2018,4
WA,Perth,Viveash,490500,2018,4
WA,Perth,Waikiki,369000,2018,4
WA,Perth,Walliston,460000,2018,4
WA,Perth,Wandi,507000,2018,4
WA,Perth,Wangara,0,2018,4
WA,Perth,Wanneroo,420000,2018,4
WA,Perth,Warnbro,322500,2018,4
WA,Perth,Warwick,555000,2018,4
WA,Perth,Waterford,894250,2018,4
WA,Perth,Watermans Bay,1030000,2018,4
WA,Perth,Wattle Grove,503500,2018,4
WA,Perth,Wattleup,0,2018,4
WA,Perth,Wellard,412500,2018,4
WA,Perth,Welshpool,0,2018,4
WA,Perth,Wembley,1025000,2018,4
WA,Perth,Wembley Downs,1100000,2018,4
WA,Perth,West Leederville,1162500,2018,4
WA,Perth,West Perth,685000,2018,4
WA,Perth,West Swan,540000,2018,4
WA,Perth,Westminster,383000,2018,4
WA,Perth,Whitby,445000,2018,4
WA,Perth,White Gum Valley,745000,2018,4
WA,Perth,Whiteman,0,2018,4
WA,Perth,Wilbinga,0,2018,4
WA,Perth,Willagee,530000,2018,4
WA,Perth,Willetton,710000,2018,4
WA,Perth,Wilson,515000,2018,4
WA,Perth,Winthrop,855000,2018,4
WA,Perth,Woodbridge,639500,2018,4
WA,Perth,Woodlands,960000,2018,4
WA,Perth,Woodvale,602000,2018,4
WA,Perth,Wooroloo,367500,2018,4
WA,Perth,Wungong,0,2018,4
WA,Perth,Yanchep,399500,2018,4
WA,Perth,Yangebup,435000,2018,4
WA,Perth,Yokine,633000,2018,4
WA,Rest of WA,Rest of WA,372250,2017,11
