State,Suburb,Postcode,HouseMedian$,UpdatedYr,UpdateMonth,,,VLOOKUP POSTCODE
NSW,Carramar,2163,700000,2016,6,,,2163
NSW,Carrington,2294,491000,2016,6,,,2294
NSW,Carrington Falls,2577,688000,2016,6,,,2577
NSW,Carss Park,2221,880000,2016,6,,,2221
NSW,Cartwright,2168,695000,2016,6,,,2168
NSW,Castle Cove,1858,1486000,2016,6,,,2069
NSW,Castle Hill,2154,1089000,2016,6,,,1765
NSW,Castlecrag,2068,1486000,2016,6,,,2068
NSW,Castlereagh,2749,589000,2016,6,,,2749
NSW,Casula,2170,695000,2016,6,,,2170
NSW,Cataract Dam,2560,680000,2016,6,,,#N/A
NSW,Catherine Field,2557,700000,2016,6,,,2557
NSW,Cecil Hills,2171,695000,2016,6,,,2171
NSW,Cedar Brush,2259,480000,2016,6,,,#N/A
NSW,Centennial Park,2021,1100000,2016,6,,,#N/A
NSW,Central Colo,2756,635000,2016,6,,,2756
NSW,Central Macdonald,2775,635000,2016,6,,,2775
NSW,Chain Valley Bay,2259,480000,2016,6,,,2259
NSW,Charmhaven,2263,480000,2016,6,,,2263
NSW,Chatham Valley,2787,578000,2016,6,,,2787
NSW,Chatswood,1876,1486000,2016,6,,,2057
NSW,Cheero Point,2083,600000,2016,6,,,2083
NSW,Chifley,2036,1100000,2016,6,,,2036
NSW,Chippendale,2008,930000,2016,6,,,2008
NSW,Chipping Norton,2170,695000,2016,6,,,2170
NSW,Chiswick,2046,1006000,2016,6,,,2046
NSW,Chittaway Bay,2261,480000,2016,6,,,2261
NSW,Chittaway Point,2261,480000,2016,6,,,2261
NSW,Chullora,2190,820000,2016,6,,,2190
NSW,Church Point,2105,1391000,2016,6,,,2105
NSW,Claremont Meadows,2747,589000,2016,6,,,2747
NSW,Clarence Town,2321,417000,2016,6,,,2321
NSW,Clarendon,2756,635000,2016,6,,,2756
NSW,Clareville,2107,1391000,2016,6,,,2107
NSW,Clareville Beach,#N/A,1391000,2016,6,,,#N/A
NSW,Claymore,2559,545000,2016,6,,,2559
NSW,Clemton Park,2206,700000,2016,6,,,2206
NSW,Cleveland,2530,595000,2016,6,,,2530
NSW,Cliftleigh,2321,417000,2016,6,,,2321
NSW,Clifton,2515,595000,2016,6,,,2515
NSW,Clontarf,2093,1673000,2016,6,,,2093
NSW,Clyde,2142,720000,2016,6,,,2142
NSW,Coal Point,2283,491000,2016,6,,,2283
NSW,Coalcliff,2508,595000,2016,6,,,2508
NSW,Coasters Retreat,2108,1391000,2016,6,,,2108
NSW,Cockatoo Island,#N/A,1324000,2016,6,,,#N/A
NSW,Cogra Bay,2083,600000,2016,6,,,2083
NSW,Colebee,2761,632000,2016,6,,,2761
NSW,Coledale,2515,595000,2016,6,,,2515
NSW,Collaroy,2097,1035000,2016,6,,,2097
NSW,Collaroy Plateau,2097,1035000,2016,6,,,#N/A
NSW,Colo,2756,635000,2016,6,,,2756
NSW,Colo Heights,2756,635000,2016,6,,,2756
NSW,Colongra,2262,480000,2016,6,,,2262
NSW,Colyton,2760,589000,2016,6,,,2760
NSW,Como,2226,900000,2016,6,,,2226
NSW,Concord,2137,1006000,2016,6,,,2137
NSW,Concord West,2138,1006000,2016,6,,,2138
NSW,Condell Park,2200,820000,2016,6,,,2200
NSW,Coniston,2500,595000,2016,6,,,2500
NSW,Connells Point,2221,880000,2016,6,,,2221
NSW,Constitution Hill,2145,720000,2016,6,,,#N/A
NSW,Coogee,2034,1100000,2016,6,,,2034
NSW,Cooks Hill,2300,491000,2016,6,,,2300
NSW,Cooranbong,2265,471000,2016,6,,,2265
NSW,Copacabana,2251,600000,2016,6,,,2251
NSW,Cordeaux,2526,595000,2016,6,,,2526
NSW,Cordeaux Heights,2526,595000,2016,6,,,2526
NSW,Corlette,2315,449000,2016,6,,,2315
NSW,Cornwallis,2756,635000,2016,6,,,2756
NSW,Corrimal,2518,595000,2016,6,,,2518
NSW,Corrimal East,2518,595000,2016,6,,,2518
NSW,Cottage Point,2084,1035000,2016,6,,,2084
NSW,Cranebrook,2749,589000,2016,6,,,2749
NSW,Cremorne,2090,1050000,2016,6,,,2090
NSW,Cremorne Point,2090,1050000,2016,6,,,2090
NSW,Cringila,2502,595000,2016,6,,,2502
NSW,Cromer,2099,1035000,2016,6,,,2099
NSW,Cronulla,2230,900000,2016,6,,,2230
NSW,Croudace Bay,2280,491000,2016,6,,,2280
NSW,Crows Nest,2065,1050000,2016,6,,,1582
NSW,Croydon Park,2133,700000,2016,6,,,2133
NSW,Cumberland Reach,2756,635000,2016,6,,,2756
NSW,Curl Curl,2096,1035000,2016,6,,,2096
NSW,Curramore,2533,688000,2016,6,,,2533
NSW,Currans Hill,2567,700000,2016,6,,,2567
NSW,Currawong Beach,2108,1391000,2016,6,,,2108
NSW,Daceyville,2032,861000,2016,6,,,2032
NSW,Daleys Point,2257,600000,2016,6,,,2257
NSW,Dangar,2309,491000,2016,6,,,2309
NSW,Dapto,2530,595000,2016,6,,,2530
NSW,Dargan,2786,578000,2016,6,,,2786
NSW,Darkes Forest,2508,595000,2016,6,,,2508
NSW,Darling Point,2027,1709000,2016,6,,,2027
NSW,Darlinghurst,2010,930000,2016,6,,,1300
NSW,Darlington,2008,930000,2016,6,,,2008
NSW,Davidson,2085,1035000,2016,6,,,2085
NSW,Davistown,2251,600000,2016,6,,,2251
